Pepper - Scotch Bonnet,Decatur,Illinois,United States,80
"Wine - Cahors Ac 2000, Clos",Chattanooga,Tennessee,United States,69
"Coke - Classic, 355 Ml",Columbus,Ohio,United States,73
Wine - Sogrape Mateus Rose,Wilmington,North Carolina,United States,22
Vinegar - White,Spartanburg,South Carolina,United States,92
Taro Root,Washington,District of Columbia,United States,45
Huck White Towels,Cincinnati,Ohio,United States,63
Campari,Battle Creek,Michigan,United States,93
Soup - Tomato Mush. Florentine,Corpus Christi,Texas,United States,71
Tomatoes,Atlanta,Georgia,United States,9
Spinach - Spinach Leaf,Austin,Texas,United States,60
Mushroom - Crimini,West Hartford,Connecticut,United States,90
Ice Cream - Life Savers,Huntington,West Virginia,United States,3
Puff Pastry - Sheets,Columbia,South Carolina,United States,70
Sardines,Hartford,Connecticut,United States,10
Table Cloth 72x144 White,Pittsburgh,Pennsylvania,United States,27
Chinese Foods - Thick Noodles,Denver,Colorado,United States,60
"Trout - Rainbow, Fresh",Columbia,South Carolina,United States,100
Oil - Sesame,Tacoma,Washington,United States,59
Crackers - Soda / Saltins,Providence,Rhode Island,United States,51
Shichimi Togarashi Peppeers,Brooklyn,New York,United States,51
Appetizer - Mango Chevre,Littleton,Colorado,United States,23
Tuna - Sushi Grade,Tacoma,Washington,United States,88
Nutmeg - Ground,Bowie,Maryland,United States,77
Gatorade - Xfactor Berry,Wilkes Barre,Pennsylvania,United States,98
Bread - Burger,Dallas,Texas,United States,25
Oil - Hazelnut,Erie,Pennsylvania,United States,17
Potatoes - Mini White 3 Oz,Alpharetta,Georgia,United States,20
Lobster - Canned Premium,Des Moines,Iowa,United States,86
Bread - Bistro White,Fort Myers,Florida,United States,96
"Salmon - Atlantic, Skin On",Dallas,Texas,United States,93
Oil - Hazelnut,Pasadena,California,United States,52
Cream - 10%,Colorado Springs,Colorado,United States,80
Appetizer - Southwestern,Flint,Michigan,United States,83
Sage - Ground,Long Beach,California,United States,71
Sherry - Dry,Bozeman,Montana,United States,83
"Vodka - Hot, Lnferno",Atlanta,Georgia,United States,27
Cranberries - Fresh,London,Kentucky,United States,45
Cheese - Victor Et Berthold,El Paso,Texas,United States,77
Ice Cream Bar - Drumstick,Memphis,Tennessee,United States,15
Sauce - Alfredo,Nashville,Tennessee,United States,19
Oil - Olive Bertolli,Boise,Idaho,United States,43
Chicken - Base,Knoxville,Tennessee,United States,97
Watercress,San Jose,California,United States,26
"Pasta - Cannelloni, Sheets, Fresh",Fort Wayne,Indiana,United States,96
Icecream - Dibs,Cleveland,Ohio,United States,11
Wine - Lou Black Shiraz,Aiken,South Carolina,United States,21
Waffle Stix,Monticello,Minnesota,United States,41
Pork - Shoulder,Oklahoma City,Oklahoma,United States,83
"Tart Shells - Sweet, 2",Irvine,California,United States,9
Wine - Masi Valpolocell,Aurora,Colorado,United States,45
Ginger - Fresh,Shawnee Mission,Kansas,United States,69
Milk - 2% 250 Ml,Saint Louis,Missouri,United States,75
Cleaner - Pine Sol,South Bend,Indiana,United States,72
Muffin Mix - Blueberry,Rochester,Minnesota,United States,83
Tea - Jasmin Green,San Francisco,California,United States,80
Pastry - Chocolate Marble Tea,Lansing,Michigan,United States,40
"Bread - Roll, Italian",Beaumont,Texas,United States,57
Sausage - Meat,Orlando,Florida,United States,28
Cafe Royale,Sacramento,California,United States,72
"Pasta - Canelloni, Single Serve",Kent,Washington,United States,2
Pea - Snow,Roanoke,Virginia,United States,41
Icecream Cone - Areo Chocolate,Long Beach,California,United States,24
"Cheese - Woolwich Goat, Log",Arlington,Virginia,United States,99
Wine - Cousino Macul Antiguas,Fort Myers,Florida,United States,24
"Turkey - Breast, Smoked",Atlanta,Georgia,United States,84
Lotus Leaves,Rochester,New York,United States,98
Beans - Green,Hartford,Connecticut,United States,40
Squash - Sunburst,Sparks,Nevada,United States,71
"Bread - Pumpernickle, Rounds",Fort Worth,Texas,United States,4
Veal - Striploin,Portland,Oregon,United States,29
Duck - Whole,Mobile,Alabama,United States,92
Beef - Ground Medium,Decatur,Illinois,United States,47
Aspic - Clear,Cleveland,Ohio,United States,76
"Oil - Olive, Extra Virgin",Lincoln,Nebraska,United States,99
Foil Wrap,Jackson,Mississippi,United States,14
Buffalo - Short Rib Fresh,Savannah,Georgia,United States,21
Table Cloth 53x69 White,Anchorage,Alaska,United States,46
V8 Splash Strawberry Banana,Amarillo,Texas,United States,67
"Chilli Paste, Ginger Garlic",Fresno,California,United States,93
Bag - Regular Kraft 20 Lb,Dallas,Texas,United States,69
Mints - Striped Red,Huntsville,Alabama,United States,69
Sage Ground Wiberg,Wilkes Barre,Pennsylvania,United States,27
Pur Source,Fort Lauderdale,Florida,United States,80
"Veal - Brisket, Provimi,bnls",Wilmington,Delaware,United States,4
Wine - Alicanca Vinho Verde,El Paso,Texas,United States,78
Crush - Cream Soda,El Paso,Texas,United States,6
Pork - Back Ribs,Kansas City,Missouri,United States,19
"Lamb - Whole, Frozen",Minneapolis,Minnesota,United States,78
"Bread - Bagels, Mini",Gilbert,Arizona,United States,71
Cookies Oatmeal Raisin,Cincinnati,Ohio,United States,28
Sauce Tomato Pouch,Philadelphia,Pennsylvania,United States,39
"Veal - Tenderloin, Untrimmed",Colorado Springs,Colorado,United States,50
"Clams - Littleneck, Whole",Baltimore,Maryland,United States,70
"Oil - Shortening,liqud, Fry",Huntsville,Alabama,United States,89
Peach - Halves,Colorado Springs,Colorado,United States,99
Wine - Champagne Brut Veuve,Raleigh,North Carolina,United States,36
Gherkin,Great Neck,New York,United States,89
Wine - Rhine Riesling Wolf Blass,Washington,District of Columbia,United States,89
"Mushroom - Chanterelle, Dry",Madison,Wisconsin,United States,11
Apple - Fuji,Orlando,Florida,United States,18
Allspice - Jamaican,Syracuse,New York,United States,64
Bread - Crusty Italian Poly,San Francisco,California,United States,78
Sobe - Orange Carrot,Bronx,New York,United States,61
Soup - Campbells Chicken,Birmingham,Alabama,United States,81
Assorted Desserts,Baton Rouge,Louisiana,United States,13
"Trout - Hot Smkd, Dbl Fillet",San Diego,California,United States,59
Rice Paper,Jackson,Mississippi,United States,73
"Flour - Bran, Red",Colorado Springs,Colorado,United States,41
Rambutan,Greenville,South Carolina,United States,33
"Tart Shells - Savory, 2",Salt Lake City,Utah,United States,52
Passion Fruit,Miami,Florida,United States,94
Cheese - Perron Cheddar,San Antonio,Texas,United States,71
Octopus,Fort Myers,Florida,United States,73
"Beef - Tongue, Fresh",Jamaica,New York,United States,65
Oil - Olive Bertolli,Louisville,Kentucky,United States,7
Olives - Stuffed,Dallas,Texas,United States,7
Table Cloth 120 Round White,Washington,District of Columbia,United States,21
Sambuca - Opal Nera,Boise,Idaho,United States,15
Flour - Strong,Fort Lauderdale,Florida,United States,6
Garbage Bags - Black,Portland,Oregon,United States,95
Mushroom - King Eryingii,Arlington,Virginia,United States,30
Tomatoes - Cherry,Humble,Texas,United States,81
Spring Roll Wrappers,Dallas,Texas,United States,70
Quail - Jumbo,Topeka,Kansas,United States,72
Carbonated Water - White Grape,Oklahoma City,Oklahoma,United States,7
"Leeks - Baby, White",Wichita,Kansas,United States,29
Fennel - Seeds,Staten Island,New York,United States,10
Bread Base - Toscano,Akron,Ohio,United States,69
"Soup - Campbells, Spinach Crm",Saint Petersburg,Florida,United States,20
Sauce - Ranch Dressing,Alexandria,Virginia,United States,2
Longos - Chicken Curried,Baton Rouge,Louisiana,United States,100
"Pepper - White, Ground",Cincinnati,Ohio,United States,53
"Wine - White, Riesling, Semi - Dry",Wilmington,Delaware,United States,32
"Doilies - 10, Paper",Louisville,Kentucky,United States,97
Strawberries,Washington,District of Columbia,United States,16
Truffle Cups - Red,Greenville,South Carolina,United States,83
Tamarind Paste,Las Vegas,Nevada,United States,77
Cheese - Goat,Huntington,West Virginia,United States,65
Fond - Neutral,Roanoke,Virginia,United States,64
Cheese - Cambozola,Salt Lake City,Utah,United States,91
Foam Espresso Cup Plain White,Arlington,Texas,United States,18
"Vodka - Lemon, Absolut",Miami,Florida,United States,26
Cheese - Colby,Indianapolis,Indiana,United States,95
Cake - Night And Day Choclate,Cincinnati,Ohio,United States,62
Pork Loin Cutlets,Yonkers,New York,United States,81
